"id","district_nut","fullname","shortname","zip","use"
"372","SK0236","Bzince","Bzince","956 05","1"
"373","SK0224","Bzince pod Javorinou","Bzince pod Javorinou","916 11","1"
"374","SK0313","Bziny","Bziny","026 01","1"
"375","SK0325","Bzovík","Bzovík","962 41","1"
"376","SK032B","Bzovská Lehôtka","Bzovská Lehôtka","962 62","1"
"377","SK041B","Bžany","Bžany","090 33","1"
"378","SK0233","Cabaj","Cabaj","951 17","1"
"379","SK0233","Cabaj - Čápor","Cabaj - Čápor","951 17","1"
"380","SK041D","Cabov","Cabov","094 14","1"
"381","SK0329","Cakov","Cakov","980 42","1"
"382","SK042B","Cejkov","Cejkov","076 05","1"
"383","SK031B","Celulózka","Celulózka","010 01","1"
"384","SK0417","Cemjata","Cemjata","080 01","1"
"385","SK041C","Cernina","Cernina","090 16","1"
"386","SK0215","Cerová","Cerová","906 33","1"
"387","SK0227","Cerová","Cerová","972 48","1"
"388","SK0233","Ceroviny","Ceroviny","951 24","1"
"389","SK0325","Cerovo","Cerovo","962 52","1"
"390","SK0426","Cestice","Cestice","044 71","1"
"391","SK0224","Cetuna","Cetuna","916 11","1"
"392","SK0217","Cífer","Cífer","919 43","1"
"393","SK0227","Cigeľ","Cigeľ","971 01","1"
"394","SK0411","Cigeľka","Cigeľka","086 02","1"
"395","SK041C","Cigla","Cigla","086 37","1"
"396","SK0221","Cimenná","Cimenná","956 37","1"
"397","SK0327","Cinobaňa","Cinobaňa","985 22","1"
"398","SK0216","Cunín","Cunín","908 48","1"
"399","SK0233","Čab","Čab","951 24","1"
"400","SK0415","Čabalovce","Čabalovce","067 16","1"
"401","SK0415","Čabiny","Čabiny","067 02","1"
"402","SK0325","Čabradský Vrbovok","Čabradský Vrbovok","962 51","1"
"403","SK0321","Čačín","Čačín","974 01","1"
"404","SK0215","Čáčov","Čáčov","905 01","1"
"405","SK0312","Čadca","Čadca",,"1"
"406","SK0312","Čadca - Kyčerka","Čadca - Kyčerka","022 04","1"
"407","SK0312","Čadečka","Čadečka","022 01","1"
"408","SK0224","Čachtice","Čachtice","916 21","1"
"409","SK0232","Čajakovo","Čajakovo","935 61","1"
"410","SK0232","Čajkov","Čajkov","935 24","1"
"411","SK0232","Čaka","Čaka","935 68","1"
"412","SK0233","Čakajovce","Čakajovce","951 43","1"
"413","SK0426","Čakanovce","Čakanovce","044 45","1"
"414","SK0326","Čakanovce","Čakanovce","985 58","1"
"415","SK0211","Čakany","Čakany","930 40","1"
"416","SK041D","Čaklov","Čaklov","094 35","1"
"417","SK0231","Čalovec","Čalovec","946 02","1"
"418","SK0326","Čamovce","Čamovce","986 01","1"
"419","SK0426","Čaňa","Čaňa","044 14","1"
"420","SK0232","Čankov","Čankov","934 01","1"
"421","SK0233","Čápor","Čápor","951 17","1"
"422","SK0237","Čaradice","Čaradice","953 01","1"
"423","SK0215","Čáry","Čáry","908 43","1"
"424","SK0107","Častá","Častá","900 89","1"
"425","SK0231","Částa","Částa","946 03","1"
"426","SK0215","Častkov","Častkov","906 04","1"
"427","SK0224","Častkovce","Častkovce","916 27","1"
"428","SK0232","Čata","Čata","935 63","1"
"429","SK0108","Čataj","Čataj","900 83","1"
"430","SK0227","Čavoj","Čavoj","972 29","1"
"431","SK032A","Čebovce","Čebovce","991 25","1"
"432","SK0427","Čečehov","Čečehov","072 11","1"
"433","SK0426","Čečejovce","Čečejovce","044 71","1"
"434","SK0211","Čečínska Potôň","Čečínska Potôň","930 36","1"
"435","SK0324","Čechánky","Čechánky","985 45","1"
"436","SK0211","Čechová","Čechová","930 34","1"
"437","SK0234","Čechy","Čechy","941 32","1"
"438","SK0233","Čechynce","Čechynce","951 07","1"
"439","SK0325","Čekovce","Čekovce","962 41","1"
"440","SK0233","Čeľadice","Čeľadice","951 03","1"
"441","SK0236","Čeľadince","Čeľadince","956 16","1"
"442","SK032A","Čeláre","Čeláre","991 22","1"
"443","SK0226","Čelkova Lehota","Čelkova Lehota","018 16","1"
"444","SK0417","Čelovce","Čelovce","082 14","1"
"445","SK032A","Čelovce","Čelovce","991 41","1"
"446","SK042B","Čeľovce","Čeľovce","076 17","1"
"447","SK041D","Čemerné","Čemerné","093 03","1"
"448","SK0211","Čenkesfa","Čenkesfa","929 01","1"
"449","SK0234","Čenkov","Čenkov","943 52","1"
"450","SK0211","Čenkovce","Čenkovce","930 39","1"
"451","SK0227","Čereňany","Čereňany","972 46","1"
"452","SK0329","Čerenčany","Čerenčany","979 01","1"
"453","SK0231","Čergov","Čergov","945 01","1"
"454","SK0231","Čerhát","Čerhát","945 04","1"
"455","SK042B","Čerhov","Čerhov","076 81","1"
"456","SK0321","Čerín","Čerín","974 01","1"
"457","SK0233","Čermáň","Čermáň","949 01","1"
"458","SK0236","Čermany","Čermany","956 08","1"
"459","SK0234","Černík","Černík","941 05","1"
"460","SK0412","Černina","Černina","067 23","1"
"461","SK042B","Černochov","Černochov","076 32","1"
"462","SK0224","Černochov Vrch","Černochov Vrch","916 01","1"
"463","SK0318","Černová","Černová","034 06","1"
"464","SK0415","Čertižné","Čertižné","067 52","1"
"465","SK0327","Červeň","Červeň","985 02","1"
"466","SK0323","Červená Skala","Červená Skala","976 71","1"
"467","SK0418","Červená Voda","Červená Voda","083 01","1"
"468","SK0328","Červeňany","Červeňany","049 64","1"
"469","SK032A","Červeňany","Červeňany","991 01","1"
"470","SK0417","Červenica","Červenica","082 07","1"
"471","SK0418","Červenica pri Sabinove","Červenica pri Sabin.","082 56","1"
"472","SK0213","Červeník","Červeník","920 42","1"
"473","SK0237","Červený Hrádok","Červený Hrádok","951 82","1"
"474","SK0222","Červený Kameň","Červený Kameň","018 56","1"
"475","SK0107","Červený Kameň","Červený Kameň","900 89","1"
"476","SK0413","Červený Kláštor","Červený Kláštor","059 06","1"
"477","SK0413","Červený Kláštor - kúpele","Červený Kláštor-kúp.","059 06","1"
"478","SK0327","České Brezovo","České Brezovo","985 03","1"
"479","SK0311","Čiakov","Čiakov","013 54","1"
"480","SK0427","Čičarovce","Čičarovce","076 71","1"
"481","SK041D","Čičava","Čičava","093 01","1"
"482","SK031B","Čičmany","Čičmany","013 15","1"
"483","SK0231","Číčov","Číčov","946 19","1"
"484","SK042B","Čierna","Čierna","076 43","1"
"485","SK0421","Čierna Hora","Čierna Hora","053 33","1"
"486","SK0428","Čierna Lehota","Čierna Lehota","049 36","1"
"487","SK0221","Čierna Lehota","Čierna Lehota","956 53","1"
